kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:22:45 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:22:55 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:05 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:15 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:25 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:35 +0000] "GET /service_health/ HTTP/1.1" 200 (79 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:45 +0000] "GET /service_health/ HTTP/1.1" 200 (79 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:23:55 +0000] "GET /service_health/ HTTP/1.1" 200 (80 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:24:05 +0000] "GET /service_health/ HTTP/1.1" 200 (80 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.27.0.4 - - [15/Dec/2020:07:24:16 +0000] "GET /service_health/ HTTP/1.1" 200 (80 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.29.0.5 - - [15/Dec/2020:07:33:32 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.29.0.5 - - [15/Dec/2020:07:33:42 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.29.0.5 - - [15/Dec/2020:07:33:54 +0000] "GET /service_health/ HTTP/1.1" 200 (79 bytes) "-" "python-requests/2.22.0"
kc.kobo.local | 172.29.0.1 - admin [15/Dec/2020:07:48:33 +0000] "GET /api/v1/user HTTP/1.1" 200 (404 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 192.168.0.4 - - [17/Dec/2020:02:18:33 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 192.168.0.4 - - [17/Dec/2020:02:18:44 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 192.168.0.4 - - [17/Dec/2020:02:18:55 +0000] "GET /service_health/ HTTP/1.1" 200 (79 bytes) "-" "python-requests/2.22.0"
kc.variamos.com | 190.99.186.26 - admin [17/Dec/2020:04:13:07 +0000] "GET / HTTP/1.1" 302 (5 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - admin [17/Dec/2020:04:13:58 +0000] "GET /admin/ HTTP/1.1" 200 (1729 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/css/base.css HTTP/1.1" 200 (14049 bytes) "http://kc.variamos.com/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 (434 bytes) "http://kc.variamos.com/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/img/icon_addlink.gif HTTP/1.1" 200 (119 bytes) "http://kc.variamos.com/static/admin/css/base.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/img/default-bg.gif HTTP/1.1" 200 (836 bytes) "http://kc.variamos.com/static/admin/css/base.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/img/icon_changelink.gif HTTP/1.1" 200 (119 bytes) "http://kc.variamos.com/static/admin/css/base.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - - [17/Dec/2020:04:13:59 +0000] "GET /static/admin/img/nav-bg.gif HTTP/1.1" 200 (265 bytes) "http://kc.variamos.com/static/admin/css/base.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kc.variamos.com | 190.99.186.26 - admin [17/Dec/2020:04:14:00 +0000] "GET /favicon.ico HTTP/1.1" 301 (5 bytes) "http://kc.variamos.com/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
