kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:05 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:15 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:25 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:35 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:45 +0000] "GET /service_health/ HTTP/1.1" 500 (360 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:22:55 +0000] "GET /service_health/ HTTP/1.1" 500 (361 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:05 +0000] "GET /service_health/ HTTP/1.1" 500 (361 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:15 +0000] "GET /service_health/ HTTP/1.1" 500 (361 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:25 +0000] "GET /service_health/ HTTP/1.1" 500 (360 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:35 +0000] "GET /service_health/ HTTP/1.1" 500 (403 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:45 +0000] "GET /service_health/ HTTP/1.1" 500 (405 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:23:55 +0000] "GET /service_health/ HTTP/1.1" 500 (405 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:24:05 +0000] "GET /service_health/ HTTP/1.1" 500 (405 bytes) "-" "-"
kf.kobo.local | 172.27.0.1 - - [15/Dec/2020:07:24:16 +0000] "GET /service_health/ HTTP/1.1" 200 (326 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:32:59 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:33:09 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:33:19 +0000] "GET /service_health/ HTTP/1.1" 502 (157 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:33:32 +0000] "GET /service_health/ HTTP/1.1" 500 (281 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:33:42 +0000] "GET /service_health/ HTTP/1.1" 500 (283 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:33:54 +0000] "GET /service_health/ HTTP/1.1" 200 (323 bytes) "-" "-"
kf.kobo.local | 172.29.0.1 - - [15/Dec/2020:07:38:56 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "curl/7.64.0"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:00 +0000] "GET /favicon.ico HTTP/1.1" 404 (2703 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:07 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:08 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1355 bytes) "-" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:08 +0000] "GET /static/css/normalize.min.css HTTP/1.1" 200 (912 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:09 +0000] "GET /static/compiled/app-0d7a490cd2ebc6452d34.js HTTP/1.1" 200 (235180 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:09 +0000] "GET /static/compiled/vendors-0d7a490cd2ebc6452d34.js HTTP/1.1" 200 (920895 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:10 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:10 +0000] "GET /me/ HTTP/1.1" 200 (35 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:10 +0000] "GET /static/img/kobologo.svg HTTP/1.1" 200 (5219 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:10 +0000] "GET /static/compiled/signup_photo.jpg HTTP/1.1" 200 (240955 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-114x114.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/favicon.ico HTTP/1.1" 200 (15086 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-72x72-precomposed.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-precomposed.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
